Series Name,Series Code,Time,Time Code,United Kingdom [GBR],Sweden [SWE],Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Lithuania [LTU],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP]
GDP per capita (current US$),NY.GDP.PCAP.CD,2012,YR2012,41538.3072616553,57134.0770682404,48333.572726737,44740.5832481477,7378.02553944156,13235.9775701749,28951.1555598986,19729.8705111763,58125.3648186912,17421.887988526,47415.5598711351,40838.024436834,44065.2489082767,22242.681934771,12834.3234884048,49231.3616199885,34814.1243593936,13799.2448781987,14342.5234770018,105447.093240743,22081.6016294634,49474.705606422,13145.1048415824,20577.4026375899,8558.3976056224,17274.6423040509,22486.4716702747,28647.8352426892
GDP per capita (current US$),NY.GDP.PCAP.CD,2013,YR2013,42407.3710146402,60283.24522267,50504.7153221994,46508.1187191213,7674.86055914027,13574.9780420161,27907.9673626742,19916.0193873722,60361.7387715794,19029.7792318907,49638.0771298139,42571.1979897409,45688.3930735697,21874.8195041667,13613.6014689502,52034.7682239848,35370.274411922,15033.1529496571,15692.0129149683,113726.638978771,24056.6124464852,51574.489418462,13780.5491146258,21618.7353389663,9585.26659264653,18191.612786163,23150.3179893477,29370.6638674201
GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,46412.1172713997,59180.1989776727,51322.6399728758,47346.792823245,7853.33519086217,13480.6507536281,27340.8838161118,19744.5586092159,61330.9126252044,19941.4526982953,49887.8969739642,42696.7788294314,47902.6528842516,21673.7810702225,14117.9766762093,55503.3272623334,35365.1041218615,15710.1677090724,16489.7289835331,116612.884151875,25125.0956185779,52157.4068701887,14341.8599344653,22124.3672201026,10020.2773322992,18595.1511139028,24020.6728561283,29718.5002155441
GDP per capita (current US$),NY.GDP.PCAP.CD,2015,YR2015,43875.9696143686,50579.6736486777,43774.985173612,40324.0277657215,6993.47735975728,11535.8293558997,23242.8400685313,17548.3382129701,51989.2934712354,17118.5042003236,42311.0362306446,36205.5681017036,41313.3139945434,18002.2305776688,12363.5434596539,61133.672427322,29957.8043154372,13648.5475564772,14147.0493792403,101449.968168042,22596.1817742659,44299.768085383,12554.5475536313,19222.1500764153,8972.92251840971,16088.2775872723,20726.5398863708,25831.5823052954
GDP per capita (current US$),NY.GDP.PCAP.CD,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/23/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
